ParkName,Region,State,Year,RecreationVisits
Acadia NP,Northeast,ME,1979,2787366.00
Acadia NP,Northeast,ME,1980,2779666.00
Acadia NP,Northeast,ME,1981,2997972.00
Acadia NP,Northeast,ME,1982,3572114.00
Acadia NP,Northeast,ME,1983,4124639.00
Acadia NP,Northeast,ME,1984,3734763.00
Acadia NP,Northeast,ME,1985,3745570.00
Acadia NP,Northeast,ME,1986,3929054.00
Acadia NP,Northeast,ME,1987,4288154.00
Acadia NP,Northeast,ME,1988,4502283.00
Acadia NP,Northeast,ME,1989,5440952.00
Acadia NP,Northeast,ME,1990,2339591.00
Acadia NP,Northeast,ME,1991,2475857.00
Acadia NP,Northeast,ME,1992,2382113.00
Acadia NP,Northeast,ME,1993,2656034.00
Acadia NP,Northeast,ME,1994,2710749.00
Acadia NP,Northeast,ME,1995,2845378.00
Acadia NP,Northeast,ME,1996,2704831.00
Acadia NP,Northeast,ME,1997,2760306.00
Acadia NP,Northeast,ME,1998,2594497.00
Acadia NP,Northeast,ME,1999,2602227.00
Acadia NP,Northeast,ME,2000,2469238.00
Acadia NP,Northeast,ME,2001,2516551.00
Acadia NP,Northeast,ME,2002,2558572.00
Acadia NP,Northeast,ME,2003,2431062.00
Acadia NP,Northeast,ME,2004,2207847.00
Acadia NP,Northeast,ME,2005,2051484.00
Acadia NP,Northeast,ME,2006,2083588.00
Acadia NP,Northeast,ME,2007,2202228.00
Acadia NP,Northeast,ME,2008,2075857.00
Acadia NP,Northeast,ME,2009,2227698.00
Acadia NP,Northeast,ME,2010,2504208.00
Acadia NP,Northeast,ME,2011,2374645.00
Acadia NP,Northeast,ME,2012,2431052.00
Acadia NP,Northeast,ME,2013,2254922.00
Acadia NP,Northeast,ME,2014,2563129.00
Acadia NP,Northeast,ME,2015,2811184.00
Acadia NP,Northeast,ME,2016,3303393.00
Acadia NP,Northeast,ME,2017,3509271.00
Acadia NP,Northeast,ME,2018,3537575.00
Acadia NP,Northeast,ME,2019,3437286.00
Acadia NP,Northeast,ME,2020,2669034.00
Acadia NP,Northeast,ME,2021,4069098.00
Acadia NP,Northeast,ME,2022,3970260.00
Arches NP,Intermountain,UT,1979,269840.00
Arches NP,Intermountain,UT,1980,290519.00
Arches NP,Intermountain,UT,1981,326508.00
Arches NP,Intermountain,UT,1982,339415.00
Arches NP,Intermountain,UT,1983,287875.00
Arches NP,Intermountain,UT,1984,345180.00
Arches NP,Intermountain,UT,1985,363464.00
Arches NP,Intermountain,UT,1986,419444.00
Arches NP,Intermountain,UT,1987,468916.00
Arches NP,Intermountain,UT,1988,520455.00
Arches NP,Intermountain,UT,1989,555809.00
Arches NP,Intermountain,UT,1990,620719.00
Arches NP,Intermountain,UT,1991,705882.00
Arches NP,Intermountain,UT,1992,799831.00
Arches NP,Intermountain,UT,1993,773678.00
Arches NP,Intermountain,UT,1994,777178.00
Arches NP,Intermountain,UT,1995,859374.00
Arches NP,Intermountain,UT,1996,856016.00
Arches NP,Intermountain,UT,1997,858525.00
Arches NP,Intermountain,UT,1998,837161.00
Arches NP,Intermountain,UT,1999,869980.00
Arches NP,Intermountain,UT,2000,786429.00
Arches NP,Intermountain,UT,2001,754026.00
Arches NP,Intermountain,UT,2002,769672.00
Arches NP,Intermountain,UT,2003,757781.00
Arches NP,Intermountain,UT,2004,733131.00
Arches NP,Intermountain,UT,2005,781670.00
Arches NP,Intermountain,UT,2006,833049.00
Arches NP,Intermountain,UT,2007,860181.00
Arches NP,Intermountain,UT,2008,928795.00
Arches NP,Intermountain,UT,2009,996312.00
Arches NP,Intermountain,UT,2010,1014405.00
Arches NP,Intermountain,UT,2011,1040758.00
Arches NP,Intermountain,UT,2012,1070577.00
Arches NP,Intermountain,UT,2013,1082866.00
Arches NP,Intermountain,UT,2014,1284767.00
Arches NP,Intermountain,UT,2015,1399247.00
Arches NP,Intermountain,UT,2016,1585718.00
Arches NP,Intermountain,UT,2017,1539028.00
Arches NP,Intermountain,UT,2018,1663557.00
Arches NP,Intermountain,UT,2019,1659702.00
Arches NP,Intermountain,UT,2020,1238083.00
Arches NP,Intermountain,UT,2021,1806865.00
Arches NP,Intermountain,UT,2022,1460652.00
Badlands NP,Midwest,SD,1979,858000.00
Badlands NP,Midwest,SD,1980,952652.00
Badlands NP,Midwest,SD,1981,1175952.00
Badlands NP,Midwest,SD,1982,1030484.00
Badlands NP,Midwest,SD,1983,1026981.00
Badlands NP,Midwest,SD,1984,1113675.00
Badlands NP,Midwest,SD,1985,950242.00
Badlands NP,Midwest,SD,1986,1025630.00
Badlands NP,Midwest,SD,1987,1174398.00
Badlands NP,Midwest,SD,1988,1110040.00
Badlands NP,Midwest,SD,1989,1237956.00
Badlands NP,Midwest,SD,1990,1326475.00
Badlands NP,Midwest,SD,1991,1518396.00
Badlands NP,Midwest,SD,1992,1205297.00
Badlands NP,Midwest,SD,1993,1179458.00
Badlands NP,Midwest,SD,1994,1130459.00
Badlands NP,Midwest,SD,1995,1075569.00
Badlands NP,Midwest,SD,1996,1024705.00
Badlands NP,Midwest,SD,1997,970696.00
Badlands NP,Midwest,SD,1998,1021049.00
Badlands NP,Midwest,SD,1999,950453.00
Badlands NP,Midwest,SD,2000,1105824.00
Badlands NP,Midwest,SD,2001,955469.00
Badlands NP,Midwest,SD,2002,908898.00
Badlands NP,Midwest,SD,2003,871034.00
Badlands NP,Midwest,SD,2004,936030.00
Badlands NP,Midwest,SD,2005,909146.00
Badlands NP,Midwest,SD,2006,840118.00
Badlands NP,Midwest,SD,2007,886654.00
Badlands NP,Midwest,SD,2008,845734.00
Badlands NP,Midwest,SD,2009,933918.00
Badlands NP,Midwest,SD,2010,977778.00
Badlands NP,Midwest,SD,2011,870741.00
Badlands NP,Midwest,SD,2012,883406.00
Badlands NP,Midwest,SD,2013,892372.00
Badlands NP,Midwest,SD,2014,868094.00
Badlands NP,Midwest,SD,2015,989354.00
Badlands NP,Midwest,SD,2016,996263.00
Badlands NP,Midwest,SD,2017,1054325.00
Badlands NP,Midwest,SD,2018,1008942.00
Badlands NP,Midwest,SD,2019,970998.00
Badlands NP,Midwest,SD,2020,916932.00
Badlands NP,Midwest,SD,2021,1224226.00
Badlands NP,Midwest,SD,2022,1006809.00
