ParkName,Region,State,Year,RecreationVisits
Great Smoky Mountains NP,Southeast ,TN,2020,12095720
Yellowstone NP,Intermountain ,WY,2020,3806306
Zion NP,Intermountain ,UT,2020,3591254
Rocky Mountain NP,Intermountain ,CO,2020,3305199
Grand Teton NP,Intermountain ,WY,2020,3289638
Grand Canyon NP,Intermountain ,AZ,2020,2897098
Cuyahoga Valley NP,Midwest ,OH,2020,2755628
Acadia NP,Northeast ,ME,2020,2669034
Olympic NP,Pacific West ,WA,2020,2499177
Joshua Tree NP,Pacific West ,CA,2020,2399542
