ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2021,1,"20,268",600,"133,769",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,2,"16,123",600,"106,413",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,3,"38,060",600,"251,199",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,4,"110,096",600,"638,557",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,5,"324,654","7,500","2,168,850","7,500",0,19,"7,992","2,460",0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,6,"661,919","7,500","4,505,504","7,500",0,294,"16,794","7,186",161,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,7,"782,146","7,500","4,927,236","7,500",0,205,"27,930","9,880",390,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,8,"795,437","7,500","4,991,696","7,500",0,419,"28,405","8,986",534,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,9,"667,301","7,500","4,096,436","7,500",0,446,"19,035","8,854",386,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,10,"557,624","6,000","3,649,594","6,000",0,224,"7,602","3,306",141,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,11,"81,089",600,"486,535",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,12,"14,381",600,"86,285",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Arches NP,ARCH,National Park,Intermountain ,UT,2021,1,"48,725",0,"146,174",0,0,0,0,0,0,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
Arches NP,ARCH,National Park,Intermountain ,UT,2021,2,"53,986",0,"161,957",0,0,0,0,0,0,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
Arches NP,ARCH,National Park,Intermountain ,UT,2021,3,"151,077",0,"489,725",0,0,0,664,518,0,0,338,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
Arches NP,ARCH,National Park,Intermountain ,UT,2021,4,"193,914",0,"699,058",0,0,0,"1,863","2,465",38,0,522,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
Arches NP,ARCH,National Park,Intermountain ,UT,2021,5,"225,789",0,"762,232",0,0,0,"1,493","1,458",60,0,525,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
Arches NP,ARCH,National Park,Intermountain ,UT,2021,6,"238,499",0,"803,670",0,0,0,"1,636","1,461",56,0,521,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
Arches NP,ARCH,National Park,Intermountain ,UT,2021,7,"211,928",0,"718,285",0,0,0,"1,536","1,293",20,0,588,Arches NP,ARCH,National Park,Intermountain ,UT,2021,"1,806,865",0,"6,272,244",0,0,0,"13,746","15,294",312,0,"6,132"
