pub_date,gender,charWRDS,bodyWRDS,allWRDS,percentage
1850,F,176420,27258,203678,13.382888677225818
1850,M,373873,31095,404968,7.6783844649453785
1851,F,94180,13093,107273,12.2053079526069
1851,M,233952,18330,252282,7.265678883154565
1852,F,160127,23260,183387,12.68355990337374
1852,M,354637,26527,381164,6.95947151357421
1853,F,111856,15573,127429,12.22092302380149
1853,M,245175,17718,262893,6.739624105624722
1854,F,160866,22437,183303,12.240388864339373
1854,M,406506,31092,437598,7.105151303250929
1855,F,105512,16247,121759,13.343572138404552
1855,M,232003,19719,251722,7.833641874766608
1856,F,116580,16014,132594,12.077469568758767
1856,M,255292,17151,272443,6.295261761175733
1857,F,213506,30495,244001,12.497899598772136
1857,M,402682,32609,435291,7.491310410736726
1858,F,150427,21506,171933,12.508360814968622
1858,M,300799,22196,322995,6.871933002058856
1859,F,97430,15519,112949,13.739829480562024
1859,M,228176,17865,246041,7.260984957791587
1860,F,113611,15121,128732,11.746108193766895
1860,M,223450,16724,240174,6.963284951743319
1861,F,112274,15477,127751,12.11497365969738
1861,M,239699,17711,257410,6.880463074472631
1862,F,92934,12568,105502,11.912570377812742
1862,M,196102,13289,209391,6.3465000883514575
1863,F,164849,24071,188920,12.741372009316112
1863,M,344814,27371,372185,7.354138398914518
1864,F,189622,24856,214478,11.589067410177268
1864,M,396237,26388,422625,6.243833185448092
1865,F,192388,28644,221032,12.959209526222448
1865,M,419127,34540,453667,7.6135138769185335
1866,F,213400,29392,242792,12.105835447625951
1866,M,496717,41313,538030,7.678568109584967
1867,F,203394,28216,231610,12.182548249212036
1867,M,405574,29150,434724,6.705403888444163
1868,F,172518,20983,193501,10.843871607898667
1868,M,362459,23342,385801,6.0502694394260255
1869,F,129607,20351,149958,13.571133250643513
1869,M,261398,19323,280721,6.883346810534302
1870,F,163594,23552,187146,12.584826819702263
1870,M,322065,23695,345760,6.853019435446553
1871,F,132161,17612,149773,11.759128814939942
1871,M,271728,19956,291684,6.841650553338545
1872,F,170212,23528,193740,12.144110663776194
1872,M,375464,25134,400598,6.274120190315478
1873,F,139716,18158,157874,11.50157720713987
1873,M,273052,18542,291594,6.358841402772347
1874,F,161462,22785,184247,12.366551422818283
1874,M,348750,24207,372957,6.490560574007191
1875,F,160747,21329,182076,11.714339067202706
1875,M,287772,21745,309517,7.025462252477246
1876,F,151122,20398,171520,11.892490671641792
1876,M,348120,24801,372921,6.650470206826648
1877,F,131762,18096,149858,12.075431408399952
1877,M,296901,22251,319152,6.971913069634532
1878,F,184704,27081,211785,12.78702457681139
1878,M,333374,25337,358711,7.0633462592449074
1879,F,164029,20253,184282,10.990221508340477
1879,M,296857,18907,315764,5.987699674440405
1880,F,195692,27075,222767,12.15395458034628
1880,M,315873,24221,340094,7.121854546096079
1881,F,217845,30872,248717,12.41250095490055
1881,M,406318,32531,438849,7.4128003026097815
1882,F,152008,21774,173782,12.529490971446986
1882,M,268043,19986,288029,6.938884626200833
1883,F,287711,41132,328843,12.508096568879374
1883,M,515447,38853,554300,7.009381201515424
1884,F,249923,33973,283896,11.966706117733255
1884,M,440766,33412,474178,7.04629906912594
1885,F,201151,29466,230617,12.777028579853175
1885,M,333512,27646,361158,7.654821435493607
1886,F,244864,34766,279630,12.432857704824233
1886,M,456147,37201,493348,7.5405190656493994
1887,F,243891,37488,281379,13.32295587090721
