"","name","long","lat","Snippet","description"
"1","Acadia",-68.21,44.35,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-%3A0_11-2"">List of national parks of the United States</a>"
"2","National Park of American Samoa",-170.68,-14.25,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-15"">List of national parks of the United States</a>"
"3","Arches",-109.57,38.68,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-16"">List of national parks of the United States</a>"
"4","Badlands",-102.5,43.75,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-18"">List of national parks of the United States</a>"
"5","Big Bend",-103.25,29.25,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-20"">List of national parks of the United States</a>"
"6","Biscayne",-80.08,25.65,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-22"">List of national parks of the United States</a>"
"7","Black Canyon of the Gunnison",-107.72,38.57,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-23"">List of national parks of the United States</a>"
"8","Bryce Canyon",-112.18,37.57,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-24"">List of national parks of the United States</a>"
"9","Canyonlands",-109.93,38.2,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-25"">List of national parks of the United States</a>"
"10","Capitol Reef",-111.17,38.2,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-26"">List of national parks of the United States</a>"
"11","Carlsbad Caverns",-104.44,32.17,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-27"">List of national parks of the United States</a>"
"12","Channel Islands",-119.42,34.01,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-29"">List of national parks of the United States</a>"
"13","Congaree",-80.78,33.78,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-31"">List of national parks of the United States</a>"
"14","Crater Lake",-122.1,42.94,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-33"">List of national parks of the United States</a>"
"15","Cuyahoga Valley",-81.55,41.24,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-34"">List of national parks of the United States</a>"
"16","Death Valley",-116.82,36.24,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-36"">List of national parks of the United States</a>"
"17","Denali",-150.5,63.33,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-dvjt_39-0"">List of national parks of the United States</a>"
