isbn,e-isbn,title,auth-first,auth-last,trnsl-first,trnsl-last,publisher,genre,price,pubdate mo,pubdate yr,language,country,addl auth,addl trnsl,auth gender,trnsl gend
9.78148E+12,,Shades of White,Ki-Ela,,Kate,Northrop,AmazonCrossing,Fiction,14.95,May,2015,German,Germany,,,Female,Female
9.78193E+12,,Priestess of Morphine,Marie-Madeleine,,Eric,Bye,Process,Fiction,34.95,Dec,2015,German,Germany,,,Female,Male
9.78037E+12,,From the Mouth of the Whale,,Sjon,Victoria,Cribb,FSG,Fiction,14.95,Apr,2013,Icelandic,Iceland,,,Male,Female
9.78037E+12,,Whispering Muse,,Sjon,Victoria,Cribb,FSG,Fiction,22,May,2013,Icelandic,Iceland,,,Male,Female
9.78177E+12,,I'm Coming,Selma Lonning,Aaro,Kari,Dickson,House of Anansi,Fiction,14.95,Nov,2015,Norwegian,Norway,,,Female,Female
9.78091E+12,,Farm,Hector,Abad,Anne,McLean,Archipelago,Fiction,20,Apr,2018,Spanish,Colombia,,,Male,Female
9.78037E+12,,Oblivion: A Memoir,Hector,Abad,Anne,McLean,FSG,Nonfiction,26,May,2012,Spanish,Colombia,,Rosalind Harvey;,,
9.78191E+12,,Recipes for Sad Women,Hector,Abad,Anne,McLean,Pushkin Press,Fiction,16,Aug,2012,Spanish,Colombia,,,Male,Female
9.78091E+12,,Useless Man,Sait Faik,Abasiyanik,Maureen,Freely,Archipelago,Fiction,18,Jan,2015,Turkish,Turkey,,Alexander Dawe;,Male,Both
9.78193E+12,,Between Two Seas,Carmine,Abate,Antony,Shugaar,Europa Editions,Fiction,14.95,Jan,2008,Italian,Italy,,,Male,Male
9.78193E+12,,Homecoming Party,Carmine,Abate,Anthony,Shugaar,Europa Editions,Fiction,15,Aug,2010,Italian,Italy,,,Male,Male
9.78977E+12,,Book of Safety,Yasser,Abdel Hafez,Robin,Moger,Hoopoe,Fiction,16.95,Mar,2017,Arabic,Egypt,,,Male,Male
9.78977E+12,,Saint Theresa and Sleeping with Strangers,Bahaa,Abdelmegid,Chip,Rossetti,American University at Cairo,Fiction,18.95,May,2010,Arabic,Egypt,,,Male,Male
9.78162E+12,,Tehran Noir,Salar,Abdoh,Various,Various,Akashic Books,Fiction,15.95,Oct,2014,Persian,Iran,,,Male,Both
9.78081E+12,,King,Kader,Abdolah,Nancy,Forest-Flier,New Directions,Fiction,24.95,Sep,2014,Dutch,Iran,,,Male,Female
9.78162E+12,,Incomplete Manuscript,Kamal,Abdulla,Anne,Thompson,Strategic Book Publishing,Fiction,14.5,Jan,2013,Azerbaijani,Azerbaijan,,,Male,Female
9.78089E+12,,Swatantra Sonnets,Hassanal,Abdullah,Hassanal,Abdullah,Cross-Cultural Communications,Poetry,15,Feb,2017,Bengali,Bangladesh,,,Male,Male
9.78089E+12,,Under the Thin Layers of Light,Hassanal,Abdullah,Hassanal,Abdullah,Cross-Cultural Communications,Poetry,15,Sep,2015,Bengali,Bangladesh,,Various Various;,Male,Both
9.78977E+12,,Collar and the Bracelet,Yahya Taher,Abdullah,Samah,Selim,American University at Cairo,Fiction,17.95,Mar,2008,Arabic,Egypt,,,Male,Female
9.78023E+12,,Beasts Head for Home,Kobo,Abe,Richard,Calichman,Columbia University Press,Fiction,25,May,2017,Japanese,Japan,,,Male,Male
