UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2018,1,106,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,1,261,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,EBOOK,2018,2,200,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,2,79,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,3,263,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,3,96,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,4,243,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,4,90,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,5,244,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,5,92,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,6,251,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,6,91,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,7,245,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,7,106,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,AUDIOBOOK,2018,8,97,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,8,246,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,9,101,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,9,218,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,10,86,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,10,242,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,EBOOK,2018,11,238,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,11,99,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,EBOOK,2018,12,250,The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2018,12,103,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
Digital,OverDrive,AUDIOBOOK,2019,1,98,The Underground Railroad (Oprah's Book Club): A Novel (unabridged) (Unabridged),Colson Whitehead,"African American Fiction, Fiction, Historical Fiction, Literature",Books on Tape,2016
