X,Y,OBJECTID,NAME,ADDRESS,SPECIAL,SHELTER,SE_ANNO_CAD_DATA,LABEL
1265655.217,267437.212,1,BROADVIEW,12755 GREENWOOD AV N, ,1,,Broadview
1279892.875,266014.0939,2,LAKE CITY,12501 28TH AV NE, ,1,,Lake City
1253927.462,239329.0581,3,MAGNOLIA,2801 34TH AV W, ,1,,Magnolia
1263356.637,234930.9251,4,QUEEN ANNE,400 W GARFIELD ST, ,1,,Queen Anne
1267009.625,240800.6093,5,FREMONT,731 N 35TH ST, ,1,,Fremont
1272575.523,252159.636,6,GREEN LAKE,7364 E GREEN LAKE DR N, ,1,,Green Lake
1265661.84,254482.7421,7,GREENWOOD,8016 GREENWOOD AV N, ,1,,Greenwood
1274640.333,246185.8007,8,UNIVERSITY,5009 ROOSEVELT WY NE, ,1,,University
1281139.625,226885.2813,9,MADRONA-SALLY GOLDMARK,1134 33RD AV, ,1,,Madrona-Sally Goldmark
1278280.822,237115.3339,10,MONTLAKE,2401 24TH AV E, ,1,,Montlake
1281417.902,250659.5101,11,NORTHEAST,6801 35TH AV NE, ,1,,Northeast
1259229.94,194392.45,12,SOUTHWEST,9010 35TH AV SW, ,1,,Southwest
1257554.66,216408.7811,13,WEST SEATTLE,2306 42ND AV SW, ,1,,West Seattle
1275621.287,214357.0291,14,BEACON HILL,2821 BEACON AV S, ,1,,Beacon Hill
1281549.46,207641.12,15,COLUMBIA,4721 RAINIER AV S, ,1,,Columbia
1285338.625,193490.8436,16,RAINIER BEACH,9125 RAINIER AV S, ,1,,Rainier Beach
1269624.5,228568.203,17,TALKING BOOK & BRAILLE,2021 9TH AV,X,0,,Talking Book & Braille
1269379.583,244805.8801,18,WALLINGFORD,1501 N 45TH ST, ,1,,Wallingford
1278150.328,223012.5151,19,DOUGLASS-TRUTH,2300 E YESLER WAY, ,1,,Douglass-Truth
1273212.497,230772.8251,20,CAPITOL HILL,425 HARVARD AV E, ,1,,Capitol Hill
1280399.5,200018.4532,21,NEWHOLLY,7058 32ND AV S, ,1,,NewHolly
1259508.125,203726.6562,22,HIGH POINT,3411 SW RAYMOND ST, ,1,,High Point
1270502.695,224831.7041,23,CENTRAL,1000 4TH AV, ,0,,Central
1262629.665,205490.6488,24,DELRIDGE,5423 DELRIDGE WAY SW, ,1,,Delridge
1273744.624,261145.6569,25,NORTHGATE,10548 5TH AV NE, ,0,,Northgate
1269575.745,228614.3744,26,MOBILE SERVICES,2025 9TH AV,X,0,,
1272929.875,221050.0626,27,INTL. DISTRICT / CHINATOWN,713 8TH AV S, ,0,,Intl District / Chinatown
1258331.851,248188.2783,28,BALLARD,5614 22ND AV NW, ,1,,Ballard
1272495.853,195525.9855,29,SOUTH PARK,8604 8TH AV S, ,0,,South Park
