"","Indicator.Name","Indicator.Code","Country.Name","Country.Code","Year","Value","Disaggregation"
"1","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Albania","ALB",2021,365,NA
"2","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Armenia","ARM",2021,140,NA
"3","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Australia","AUS",2021,0,NA
"4","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Bosnia and Herzegovina","BIH",2021,365,NA
"5","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Bulgaria","BGR",2021,410,NA
"6","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","China","CHN",2021,128,NA
"7","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Croatia","HRV",2021,208,NA
"8","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Czechia","CZE",2021,196,NA
"9","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Estonia","EST",2021,140,NA
"10","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Finland","FIN",2021,147,NA
"11","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Gambia, The","GMB",2021,180,NA
"12","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Hungary","HUN",2021,168,NA
"13","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Iceland","ISL",2021,180,NA
"14","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","India","IND",2021,182,NA
"15","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Iran, Islamic Rep.","IRN",2021,180,NA
"16","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Ireland","IRL",2021,182,NA
"17","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Italy","ITA",2021,150,NA
"18","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Kosovo","XKX",2021,270,NA
"19","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","North Macedonia","MKD",2021,270,NA
"20","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Poland","POL",2021,140,NA
"21","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Puerto Rico","PRI",2021,56,NA
"22","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Russian Federation","RUS",2021,140,NA
"23","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","San Marino","SMR",2021,635,NA
"24","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Serbia","SRB",2021,135,NA
"25","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Slovak Republic","SVK",2021,238,NA
"26","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Tajikistan","TJK",2021,140,NA
"27","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","United States","USA",2021,0,NA
"28","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Venezuela, RB","VEN",2021,182,NA
"29","Length of paid maternity leave (calendar days)","SH.MMR.LEVE","Vietnam","VNM",2021,180,NA
