"","fips","year","state","county_name","urbanicity","total_pop","total_jail_pop_rate","female_jail_pop_rate","male_jail_pop_rate","aapi_jail_pop_rate","black_jail_pop_rate","latinx_jail_pop_rate","native_jail_pop_rate","white_jail_pop_rate","total_prison_pop_rate","female_prison_pop_rate","male_prison_pop_rate","aapi_prison_pop_rate","black_prison_pop_rate","latinx_prison_pop_rate","native_prison_pop_rate","white_prison_pop_rate"
"1",53001,1990,"WA","Adams County","rural",13636,193.43,9.11,311.13,701.75,0,162.35,0,152.27,198.39,0,388.92,NA,NA,231.93,NA,129.99
"2",53001,1991,"WA","Adams County","rural",14100,194.4,13.34,282.93,1200,0,135.38,0,140.72,106.69,0,208.72,NA,NA,213.75,NA,NA
"3",53001,1992,"WA","Adams County","rural",14476,198.2,17.25,260.97,1739.13,0,113.3,0,132.24,126.76,0,247.47,NA,NA,266.58,NA,NA
"4",53001,1993,"WA","Adams County","rural",14932,198.79,20.64,236.76,2173.91,0,92.25,0,122.36,154.61,0,301.33,0,0,153.75,0,157.32
"5",53001,1994,"WA","Adams County","rural",15646,193.94,23.49,255.21,2437.5,0,126.23,607.14,124.41,136.28,0,265.41,0,0,140.25,0,135.78
"6",53001,1995,"WA","Adams County","rural",15711,198.33,27.24,284.67,2829.79,0,161.59,1320,132.47,187.89,0,366,NA,NA,161.59,NA,172.71
"7",53001,1996,"WA","Adams County","rural",15860,200.53,30.71,309.81,3333.33,0,190.74,1724.14,140.03,359.93,0,699.58,NA,NA,483.21,NA,245.06
"8",53001,1997,"WA","Adams County","rural",16042,202.8,34.3,334.58,3479.17,0,216.82,2481.48,147.9,476.58,NA,NA,NA,NA,NA,NA,NA
"9",53001,1998,"WA","Adams County","rural",16194,205.89,37.67,360.98,4066.67,0,242.44,3074.07,156.22,361.55,NA,NA,NA,NA,NA,NA,NA
"10",53001,1999,"WA","Adams County","rural",16239,210.59,41.37,389.26,4255.32,0,268.58,3448.28,165.96,361.01,NA,NA,NA,NA,NA,NA,NA
"11",53001,2000,"WA","Adams County","rural",16458,204.9,44.55,370.52,3305.08,0,253.43,2621.62,166.29,267.64,0,517.54,NA,NA,257.07,NA,263.65
"12",53001,2001,"WA","Adams County","rural",16259,201.91,48.11,357.25,3350.88,0,243.63,2513.51,167.67,327.74,NA,NA,NA,NA,NA,NA,NA
"13",53001,2002,"WA","Adams County","rural",16445,195.81,51.09,338.28,3100,0,231.62,2368.42,165.5,411.2,NA,NA,NA,NA,NA,NA,NA
"14",53001,2003,"WA","Adams County","rural",16612,190.92,53.72,324.96,3084.75,0,222.81,2289.47,163.24,359.12,NA,NA,NA,NA,NA,NA,NA
"15",53001,2004,"WA","Adams County","rural",16664,187.43,56.42,314.71,2901.64,0,214.4,2270.27,163.89,436.34,79.74,774.02,0,0,537.43,0,341.02
"16",53001,2005,"WA","Adams County","rural",16918,181.8,59.04,297.95,2932.2,0,201.98,1632.65,164.2,382.74,98.41,651.77,NA,NA,385.6,NA,369.46
"17",53001,2006,"WA","Adams County","rural",16997,238.89,58.92,312.67,2703.12,0,202.67,1612.24,162.3,344,78.55,595.57,NA,NA,360.3,NA,314.14
"18",53001,2007,"WA","Adams County","rural",17413,226.03,57.36,322.94,2883.33,0,198.17,1591.84,158.16,402.62,NA,NA,NA,NA,NA,NA,NA
"19",53001,2008,"WA","Adams County","rural",17782,213.01,56.19,328.87,2982.76,0,190.87,1571.43,156.15,320.1,NA,NA,NA,NA,NA,NA,NA
"20",53001,2009,"WA","Adams County","rural",18405,199.4,54.25,335.72,2746.03,0,184.84,1490.2,151.71,302.25,0,594.51,NA,NA,246.46,NA,368.44
"21",53001,2010,"WA","Adams County","rural",18789,190.3,54.13,345.24,2582.09,0,183.11,1470.59,150.57,423.47,0,828.59,NA,NA,298.95,NA,602.28
"22",53001,2011,"WA","Adams County","rural",18879,182.58,54.24,357.88,2369.86,0,186.07,1275.86,146.3,335.01,NA,NA,NA,NA,NA,NA,NA
"23",53001,2012,"WA","Adams County","rural",18952,175.85,54.46,373.38,1901.1,0,188.69,1216.67,144.44,363.02,NA,NA,NA,NA,NA,NA,NA
"24",53001,2013,"WA","Adams County","rural",19115,166.92,53.83,385.54,1679.61,0,188.98,1200,140.45,421.68,NA,NA,NA,NA,NA,NA,NA
"25",53001,2014,"WA","Adams County","rural",19200,201.6,53.53,399.66,2111.11,649.35,216.36,1622.64,164.82,438.25,NA,NA,NA,NA,NA,NA,NA
"26",53001,2015,"WA","Adams County","rural",19244,236.22,53.59,411.52,2450,1190.48,240.76,1851.85,193.66,446.19,NA,NA,NA,NA,NA,NA,NA
"27",53001,2016,"WA","Adams County","rural",19378,183.74,88.95,344.35,2467.39,1162.5,250.1,1771.93,174.87,402.48,NA,NA,NA,NA,NA,NA,NA
"28",53001,2017,"WA","Adams County","rural",19681,190.08,52.73,339.85,2009.62,1036.59,190.87,1818.18,200.1,NA,NA,NA,NA,NA,NA,NA,NA
"29",53001,2018,"WA","Adams County","rural",19759,275.89,104.57,375.36,0,0,160.99,1666.67,385.6,NA,NA,NA,NA,NA,NA,NA,NA
"30",53003,1990,"WA","Asotin County","small/mid",17666,142.21,30.37,320.79,0,7266.67,300.75,305.34,144.98,180.13,NA,NA,NA,NA,NA,NA,NA
"31",53003,1991,"WA","Asotin County","small/mid",17948,157.7,44.55,325.08,0,7600,454.55,461.54,145.54,222.63,89.09,367.65,NA,NA,NA,NA,220.22
"32",53003,1992,"WA","Asotin County","small/mid",18399,171.36,57.76,326.88,0,9833.33,592.59,597.01,145.12,243.51,NA,NA,NA,NA,NA,NA,NA
"33",53003,1993,"WA","Asotin County","small/mid",18860,183.31,70.04,327.15,0,9461.54,689.66,714.29,144.17,209.5,83.98,345.33,NA,NA,NA,NA,207.24
"34",53003,1994,"WA","Asotin County","small/mid",19454,176.57,80.81,368.03,0,5882.35,0,1408.45,199.64,227.02,NA,NA,NA,NA,NA,NA,NA
"35",53003,1995,"WA","Asotin County","small/mid",19894,147.42,31.53,221.58,0,4411.76,628.93,620,118.45,245.7,NA,NA,NA,NA,NA,NA,NA
"36",53003,1996,"WA","Asotin County","small/mid",20280,167.66,61.53,282.2,0,7111.11,564.97,622.64,165.29,247.5,NA,NA,NA,NA,NA,NA,NA
"37",53003,1997,"WA","Asotin County","small/mid",20499,196.31,30.26,473.47,0,11200,1111.11,613.5,227.7,274.83,60.51,506.12,NA,NA,NA,NA,260.23
"38",53003,1998,"WA","Asotin County","small/mid",20721,200.83,14.87,369.72,0,11111.11,673.68,1162.79,160.17,254.9,NA,NA,NA,NA,NA,NA,NA
"39",53003,1999,"WA","Asotin County","small/mid",20560,225.16,44.76,501.78,0,13166.67,1063.83,1734.1,233.44,287.27,NA,NA,NA,NA,NA,NA,NA
"40",53003,2000,"WA","Asotin County","small/mid",20546,193.32,44.7,466.24,0,6470.59,467.29,1530.39,249.84,378.91,59.59,723.47,NA,NA,NA,NA,370.73
